date,open,high,low,close,volume
2020-11-27,9.7,9.7,9.7,9.7,100
2020-11-30,10.25,10.27,10.25,10.27,400
2020-12-01,10.01,10.17,9.9,10.165,52800
2020-12-02,10.165,10.165,10.165,10.165,0
2020-12-03,10.67,10.67,10.59,10.59,600
2020-12-04,10.36,10.48,10.35,10.4,1600
2020-12-07,10.5,10.63,10.455,10.499,3500
2020-12-08,10.53,10.53,10.2,10.348,6800
2020-12-09,10.88,11.4,10.3,10.5,340300
2020-12-10,10.75,11.256,10.5,10.58,69500
2020-12-11,11.5,11.68,10.88,11.48,625000
2020-12-14,12.43,12.43,10.95,11.25,325300
2020-12-15,10.9,11.19,10.658,11.15,323700
2020-12-16,10.65,11.19,10.65,11.19,51600
2020-12-17,11.2,11.2,10.8,11.08,59800
2020-12-18,10.9,11.25,10.86,11.08,234900
2020-12-21,11.04,11.21,10.85,11.15,247300
2020-12-22,11.57,12.0,11.0,11.15,190900
2020-12-23,11.32,11.4,11.0,11.22,127000
2020-12-24,11.27,11.39,11.02,11.26,172100
2020-12-28,11.05,11.39,11.04,11.39,349300
2020-12-29,11.37,11.49,10.85,11.16,265800
2020-12-30,11.17,11.29,11.01,11.11,218900
2020-12-31,11.15,11.3,11.05,11.1,226900
2021-01-04,11.11,11.54,11.05,11.15,196000
