date,open,high,low,close,volume
2018-07-19,11.48,12.21,10.51,11.5,2380200
2018-07-20,11.48,11.89,11.02,11.89,349100
2018-07-23,11.8,11.97,11.33,11.49,232900
2018-07-24,11.56,11.6,10.62,11.45,304800
2018-07-25,11.54,11.62,10.67,11.62,183600
2018-07-26,11.56,11.57,10.84,11.4,128100
2018-07-27,11.39,11.61,11.27,11.39,62300
2018-07-30,11.42,11.5,11.05,11.29,69300
2018-07-31,11.26,11.43,10.91,11.06,90500
2018-08-01,11.0,11.11,10.77,10.8,58900
2018-08-02,10.75,10.86,9.84,10.47,73500
2018-08-03,10.38,10.49,9.02,10.42,60300
2018-08-06,10.54,10.6,9.0,10.59,102800
2018-08-07,10.54,10.82,10.01,10.3,109500
2018-08-08,10.22,10.49,9.84,10.19,38000
2018-08-09,10.22,10.22,9.5,9.87,131100
2018-08-10,9.36,9.85,9.35,9.85,80000
2018-08-13,9.97,10.1,9.3,9.9,159500
2018-08-14,10.09,11.0,9.5,11.0,91700
2018-08-15,11.01,11.03,10.25,10.63,36500
2018-08-16,10.65,10.82,10.3,10.61,22200
2018-08-17,10.65,10.79,10.25,10.45,11100
2018-08-20,10.54,10.54,9.8,9.99,44400
2018-08-21,9.94,10.5,9.94,10.24,27200
2018-08-22,10.22,10.46,10.22,10.22,24800
2018-08-23,10.4,10.45,10.01,10.19,19100
2018-08-24,10.2,10.21,9.85,9.9,17800
2018-08-27,9.9,10.17,9.9,9.95,6300
2018-08-28,10.01,10.04,9.91,9.91,5500
2018-08-29,9.91,10.11,9.6,9.67,19600
2018-08-30,9.79,10.25,8.75,10.25,69200
2018-08-31,10.29,10.41,9.34,10.41,27600
2018-09-04,10.0,10.13,9.01,9.05,54300
2018-09-05,9.1,9.8,9.1,9.1,37300
2018-09-06,9.1,9.69,8.71,8.71,38100
2018-09-07,8.71,9.06,7.72,8.05,45700
2018-09-10,8.45,8.6,7.64,7.89,27200
2018-09-11,7.68,8.02,7.1,7.64,19800
2018-09-12,7.59,7.59,7.4,7.45,8600
2018-09-13,7.54,7.62,6.67,7.55,30300
2018-09-14,6.83,7.42,6.83,7.25,29700
