date,open,high,low,close,volume
2020-11-19,9.8,9.85,9.8,9.85,260400
2020-11-20,10.03,10.03,9.85,9.86,2400
2020-11-23,10.12,10.12,10.012,10.012,400
2020-11-24,9.9,9.94,9.9,9.94,3500
2020-11-25,9.96,9.995,9.85,9.85,44800
2020-11-27,9.896,9.896,9.896,9.896,400
2020-11-30,10.15,10.15,9.9,9.92,193600
2020-12-01,10.0,10.0,9.987,9.987,600
2020-12-02,9.92,10.05,9.92,9.98,52200
2020-12-03,10.02,10.05,9.91,9.91,16900
2020-12-04,10.05,10.1,9.9,9.95,216200
2020-12-07,10.0,10.17,9.95,9.97,317600
2020-12-08,10.071,10.071,9.9,9.97,130200
2020-12-09,10.18,10.18,9.97,10.06,46800
2020-12-10,10.0,10.05,9.99,10.01,285200
2020-12-11,10.01,10.1,10.01,10.02,25700
2020-12-14,10.52,10.52,10.03,10.05,39800
2020-12-15,10.02,10.04,10.02,10.04,1800
2020-12-16,10.077,10.077,10.077,10.077,300
2020-12-17,10.06,10.17,9.99,10.02,65100
2020-12-18,10.01,10.104,10.01,10.05,12700
2020-12-21,10.05,10.07,10.01,10.02,12800
2020-12-22,10.081,10.1,10.01,10.04,40100
2020-12-23,10.07,10.13,10.01,10.13,17200
2020-12-24,10.94,10.94,10.01,10.1,118700
2020-12-28,10.1,10.192,10.06,10.1,67700
2020-12-29,10.123,10.13,10.07,10.08,3500
2020-12-30,10.09,10.14,10.05,10.13,15100
2020-12-31,10.13,10.139,10.03,10.03,63900
2021-01-04,10.05,10.17,10.05,10.125,24100
