date,open,high,low,close,volume
2020-06-23,11.5,13.5,7.21,8.2,332144300
2020-06-24,8.98,9.19,7.75,8.63,82849800
2020-06-25,10.8,14.0,9.91,12.6,221856400
2020-06-26,10.7,11.8,10.2,11.6,53976400
2020-06-29,12.7,14.4,10.6,12.0,88566700
2020-06-30,11.3,11.7,10.3,11.1,47755800
2020-07-01,9.71,10.0,8.17,9.0,71937800
2020-07-02,10.1,10.4,9.18,9.3,48964700
2020-12-22,4.15,4.21,4.085,4.207,181000
2020-12-23,4.16,4.2,4.04,4.09,515600
2020-12-24,4.1,4.18,4.09,4.13,150100
2020-12-28,4.03,4.09,3.95,3.98,480800
2020-12-29,3.94,3.95,3.71,3.84,550000
2020-12-30,3.84,3.92,3.78,3.81,386000
2020-12-31,3.95,3.98,3.73,3.81,613100
2021-01-04,3.81,4.1,3.75,4.06,641900
