date,open,high,low,close,volume
2014-11-05,44.9618,49.608,44.9618,48.7189,4868200
2014-11-06,49.2256,49.2256,46.6157,47.2945,1480100
2014-11-07,47.3231,47.8738,46.8356,47.2084,1230600
2014-11-10,47.0268,47.3614,44.4455,44.608,1217300
2014-11-11,43.4417,44.3117,42.6004,43.1644,2382800
2014-11-12,42.2467,44.9426,42.1367,44.6558,1788900
2014-11-13,44.4455,46.4388,43.6329,46.0325,1385300
2014-11-14,46.1855,46.6157,45.0765,45.7744,1202000
2014-11-17,46.3193,46.7208,45.239,46.3384,400600
2014-11-18,45.7935,47.1032,45.4971,46.7686,342900
2014-11-19,46.3289,48.4895,46.3289,48.4034,278900
2014-11-20,47.5143,49.4359,47.5143,48.891,499300
2014-11-21,49.5124,49.7323,48.8528,49.2734,524200
2014-11-24,49.5698,50.4207,49.173,50.3537,321600
2014-11-25,50.4589,51.6635,49.4551,51.3767,764700
2014-11-26,52.3327,52.3327,50.9656,51.6348,306200
2014-11-28,51.6444,52.3327,51.5679,52.0076,178200
2014-12-01,52.0268,52.3136,51.4054,51.4149,585000
2014-12-02,51.673,52.0172,51.1568,51.7782,656400
2014-12-03,51.3862,51.9694,51.0421,51.109,424000
2014-12-04,50.7648,51.3958,50.7266,51.348,639800
2014-12-05,51.262,52.0746,51.1281,51.5296,650100
2014-12-08,51.3862,51.6635,51.2811,51.5296,304900
2014-12-09,50.8222,51.7208,50.6262,51.6252,298600
2014-12-10,51.7304,52.0841,50.9178,51.1185,688100
2014-12-11,51.69,51.74,49.46,50.65,988500
2014-12-12,49.66,50.245,48.77,48.98,456600
2014-12-15,49.69,49.69,47.82,48.24,587500
2014-12-16,48.1,48.1,47.67,47.87,913400
2014-12-17,47.98,48.28,47.82,48.1,1696300
2014-12-18,48.6,48.77,48.11,48.36,2352800
2014-12-19,48.37,49.8,48.37,49.66,1139800
2014-12-22,49.52,50.9,49.52,50.82,898400
2014-12-23,51.01,51.63,50.75,51.47,403100
2014-12-24,51.31,51.4,51.01,51.02,62000
2014-12-26,51.0,51.2,49.68,50.68,140600
2014-12-29,50.62,50.62,49.677,50.23,219400
2014-12-30,49.97,50.38,49.6,50.36,456300
