date,open,high,low,close,volume
2020-04-29,10.13,10.73,9.796,10.4,2570600
2020-04-30,10.49,10.49,9.88,10.1,692000
2020-05-01,10.1,10.25,9.85,9.9,654400
2020-05-04,9.75,9.97,9.55,9.75,338800
2020-05-05,9.84,10.13,9.756,9.9,600000
2020-05-06,9.98,9.98,9.72,9.82,273300
2020-05-07,9.95,9.97,9.77,9.84,616500
2020-05-08,9.9,9.9,9.62,9.7,478300
2020-05-11,9.7,9.88,9.26,9.65,850500
2020-05-12,9.64,9.77,9.43,9.68,950300
2020-05-13,9.8,9.8,9.08,9.09,567800
2020-05-14,9.0,9.59,8.84,9.45,1336400
2020-05-15,9.21,9.5,9.21,9.35,760600
2020-05-18,9.63,9.94,9.55,9.83,1127200
2020-05-19,9.85,10.09,9.71,10.0,907600
2020-05-20,10.17,10.3,10.12,10.2,775600
2020-05-21,10.31,10.31,10.125,10.26,825800
2020-05-22,10.25,10.71,10.25,10.65,717800
2020-05-26,10.9,11.36,10.58,10.86,930700
2020-05-27,11.12,11.3,10.8,11.01,885500
2020-05-28,11.06,11.44,10.91,11.0,1230900
2020-05-29,10.99,11.31,10.83,11.27,1378700
2020-06-01,11.38,11.39,10.4,11.15,1689600
2020-06-02,11.59,12.02,11.51,11.84,1806800
2020-06-03,12.1,12.35,11.23,12.16,1577500
2020-06-04,12.18,12.38,11.92,12.01,1610400
2020-06-05,13.0,13.0,11.91,12.0,1945500
2020-06-08,12.5,12.82,11.98,12.64,2768700
2020-06-09,12.83,12.97,12.415,12.78,1984900
2020-06-10,12.83,13.02,12.12,12.44,2771900
2020-06-11,12.0,12.21,11.72,11.96,1484300
2020-06-12,12.15,12.7,11.93,12.3,1542900
2020-06-15,12.11,13.02,12.04,12.95,3751000
2020-06-16,13.22,14.17,12.84,13.61,3538500
2020-06-17,13.8,14.02,13.39,13.74,5152800
2020-06-18,13.65,14.07,13.51,13.82,5566100
2020-06-19,14.01,14.63,13.48,13.59,11398600
2020-06-22,13.52,14.09,12.97,13.2,4533400
2020-06-23,13.4,13.69,12.7,12.88,3807600
2020-06-24,13.36,13.45,12.91,13.16,2463300
2020-06-25,13.08,13.67,12.85,12.92,2174600
2020-06-26,12.92,13.0,12.035,12.22,17764400
2020-06-29,12.56,12.89,11.965,12.24,1546500
2020-06-30,12.38,12.38,11.78,12.15,2260400
2020-07-01,12.08,12.79,12.075,12.12,2899000
2020-07-02,12.44,12.48,11.87,11.94,724100
2020-07-06,12.16,12.18,11.858,12.02,388800
2020-07-07,11.86,12.06,11.45,11.54,737900
2020-07-08,11.57,11.83,11.43,11.76,767900
2020-07-09,11.61,11.92,11.19,11.34,1523500
2020-07-10,11.32,11.66,11.12,11.3,1275200
2020-07-13,11.4,11.55,10.93,11.0,1255300
2020-07-14,11.03,11.83,10.91,11.8,1765900
2020-07-15,11.98,12.55,11.905,12.31,1835600
2020-07-16,12.3,13.11,12.18,12.98,898100
2020-07-17,12.9,13.36,12.77,13.34,1191600
2020-07-20,13.34,13.48,12.92,13.33,1376700
2020-07-21,13.49,14.0,13.24,13.6,1675300
2020-07-22,13.5,14.05,13.47,13.5,1709000
2020-07-23,13.5,13.76,13.08,13.25,811800
2020-07-24,13.28,13.31,12.85,12.85,686400
2020-07-27,12.82,13.24,12.74,13.05,761700
2020-07-28,12.95,13.5,12.95,13.26,903600
2020-07-29,13.3,13.86,13.3,13.78,554400
2020-07-30,13.53,14.27,13.53,13.97,672600
2020-07-31,13.84,14.06,13.67,13.93,896500
2020-08-03,13.96,14.5,13.86,14.38,1041700
2020-08-04,14.28,14.5,14.06,14.43,796900
2020-08-05,14.5,14.84,14.25,14.45,621700
2020-08-06,14.39,14.65,14.23,14.41,470800
2020-08-07,14.38,14.68,14.28,14.68,539200
2020-08-10,14.78,15.01,14.57,14.72,1280900
2020-08-11,14.96,15.03,14.61,14.7,1685600
2020-08-12,15.43,15.43,14.08,14.47,1350500
2020-08-13,14.83,14.83,14.24,14.45,573300
2020-08-14,14.3,14.88,14.16,14.67,761300
2020-08-17,15.0,15.21,14.71,15.19,1529200
2020-08-18,15.19,15.55,15.12,15.35,1162900
2020-08-19,15.67,15.77,15.36,15.46,1027100
2020-08-20,15.27,15.37,14.8,15.13,506900
2020-08-21,14.96,15.06,14.785,14.97,647000
2020-08-24,15.2,15.21,14.41,14.55,729000
2020-08-25,14.71,14.93,14.49,14.7,554800
2020-08-26,14.56,14.79,14.43,14.56,377600
2020-08-27,14.65,14.65,14.16,14.35,470800
2020-08-28,14.35,14.44,14.215,14.35,612300
2020-08-31,14.4,14.43,14.07,14.14,622600
2020-09-01,14.1,14.74,13.963,14.67,578300
2020-09-02,14.5,14.81,14.17,14.48,819000
2020-09-03,14.58,14.58,13.91,13.97,397500
2020-09-04,14.14,14.2,13.4,13.93,369700
2020-09-08,13.68,14.03,13.44,13.78,670300
2020-09-09,13.88,14.38,13.88,14.24,523600
2020-09-10,14.23,14.47,13.99,14.09,582600
2020-09-11,14.09,14.5,14.01,14.15,437600
2020-09-14,14.2,14.6,14.2,14.6,493200
2020-09-15,14.67,14.79,14.09,14.09,776900
2020-09-16,14.14,14.3,13.85,14.0,778700
2020-09-17,13.84,14.21,13.75,13.99,539600
2020-09-18,14.25,14.25,13.82,13.94,1224700
2020-09-21,13.62,13.82,13.0,13.81,1467600
2020-09-22,14.54,15.1,14.24,14.65,1377300
2020-09-23,14.6,14.85,14.3,14.35,1648800
2020-09-24,14.39,14.415,13.819,13.88,1199800
2020-09-25,13.74,14.48,13.74,14.47,845300
2020-09-28,14.62,14.75,14.17,14.27,819400
2020-09-29,14.28,14.44,13.95,14.19,620500
2020-09-30,14.18,14.785,14.18,14.23,732900
2020-10-01,14.35,14.69,14.21,14.56,1717100
2020-10-02,14.23,14.5,14.11,14.28,563800
2020-10-05,14.64,15.22,14.64,14.85,955600
2020-10-06,15.04,15.05,14.45,14.46,782200
2020-10-07,14.61,15.1,14.47,14.62,959600
2020-10-08,14.78,14.8,14.34,14.76,662400
2020-10-09,14.89,15.25,14.72,14.9,1969100
2020-10-12,14.91,15.38,14.78,15.09,923100
2020-10-13,14.91,15.09,14.91,15.01,1071000
2020-10-14,15.01,15.4,14.9,14.9,257800
2020-10-15,14.92,15.33,14.51,15.23,505600
2020-10-16,15.19,15.5,15.02,15.25,732400
2020-10-19,15.25,15.5,15.17,15.21,381700
2020-10-20,15.36,15.42,15.09,15.1,510200
2020-10-21,15.13,15.22,14.87,15.03,661500
2020-10-22,15.16,15.3,15.11,15.24,767600
2020-10-23,15.25,15.76,15.2,15.32,551300
2020-10-26,15.07,15.21,14.76,14.9,604000
2020-10-27,14.84,15.0,14.53,14.61,746900
2020-10-28,14.34,14.35,13.85,13.89,1174100
2020-10-29,13.79,14.25,13.76,14.1,746500
2020-10-30,13.9,14.57,13.89,14.39,735700
2020-11-02,14.63,14.94,14.42,14.62,1460600
2020-11-03,14.9,15.0,14.425,14.5,1069800
2020-11-04,14.53,14.87,14.325,14.71,1445400
2020-11-05,14.57,15.1,14.57,14.8,935300
2020-11-06,14.82,14.91,14.56,14.64,300700
2020-11-09,15.34,15.92,14.54,15.27,1143800
2020-11-10,15.6,15.9,15.26,15.67,836900
2020-11-11,16.48,16.52,15.36,15.65,2289700
2020-11-12,15.69,16.17,15.17,15.62,1141000
2020-11-13,15.64,16.03,15.385,15.46,553700
2020-11-16,15.61,16.21,15.59,16.0,998800
2020-11-17,15.72,15.87,15.26,15.32,1097900
2020-11-18,15.37,15.82,15.12,15.58,1186100
2020-11-19,15.56,15.63,15.25,15.35,858800
2020-11-20,15.25,15.4,15.06,15.35,946600
2020-11-23,15.48,15.775,15.28,15.75,1034000
2020-11-24,15.87,16.04,15.71,15.98,1361300
2020-11-25,16.05,16.17,15.78,15.85,804600
2020-11-27,15.75,15.95,15.58,15.72,415700
2020-11-30,15.59,15.77,15.46,15.5,2386300
2020-12-01,16.3,16.39,15.77,16.01,1613600
2020-12-02,15.9,16.15,15.82,15.93,2074600
2020-12-03,16.02,16.6,16.02,16.44,2735700
2020-12-04,16.56,16.64,16.29,16.38,1347400
2020-12-07,16.33,16.78,16.16,16.72,1671900
2020-12-08,17.61,17.67,17.05,17.41,1905500
2020-12-09,17.43,17.556,17.15,17.38,1275200
2020-12-10,17.29,17.865,17.2,17.7,1335400
2020-12-11,17.55,17.82,17.49,17.74,1704900
2020-12-14,17.96,17.98,17.605,17.68,1106200
2020-12-15,17.76,17.95,17.59,17.73,1171000
2020-12-16,17.94,17.94,17.475,17.68,720900
2020-12-17,17.77,17.903,17.62,17.85,1170800
2020-12-18,17.91,18.16,17.77,17.88,2259300
2020-12-21,17.51,17.98,17.51,17.82,602700
2020-12-22,17.82,17.93,17.55,17.88,623500
2020-12-23,18.0,18.15,17.84,17.91,744200
2020-12-24,17.93,18.03,17.75,17.94,266600
2020-12-28,18.11,18.17,17.76,17.77,484700
2020-12-29,17.78,17.88,17.53,17.65,447900
2020-12-30,17.64,17.95,17.64,17.85,368300
2020-12-31,17.73,18.355,17.64,18.15,746700
2021-01-04,18.13,18.27,17.3,17.57,1387900
