date,open,high,low,close,volume
2020-12-10,48.5,48.5,21.41,21.884,131800
2020-12-11,26.89,26.89,18.5,19.7,601100
2020-12-14,17.98,18.42,15.73,17.75,541300
2020-12-15,17.58,17.703,16.16,17.05,405600
2020-12-16,16.79,17.89,16.0,17.4,244700
2020-12-17,17.89,17.89,16.03,16.44,170500
2020-12-18,17.0,17.27,16.05,16.16,109400
2020-12-21,16.0,17.39,15.27,16.23,193900
2020-12-22,17.0,17.85,16.23,16.61,269800
2020-12-23,17.53,22.25,17.33,19.91,1108400
2020-12-24,23.5,23.89,19.12,20.05,799400
2020-12-28,21.49,21.5,18.5,19.85,388000
2020-12-29,19.24,19.53,18.3,19.0,296400
2020-12-30,19.04,19.49,18.6,18.73,122200
2020-12-31,18.32,18.55,17.45,18.43,112600
2021-01-04,17.94,18.19,16.53,16.83,282700
