date,open,high,low,close,volume
2014-09-22,4.75,4.75,4.1,4.35,21900
2014-09-23,4.45,4.45,3.9,4.26,81700
2014-09-24,3.7,4.34,3.61,4.34,94400
2014-09-25,4.35,4.44,3.8,4.0,29800
2014-09-26,4.0,4.4,4.0,4.4,161500
2014-09-29,4.39,4.39,4.0,4.23,138700
2014-09-30,4.14,4.25,4.0,4.21,26100
2014-10-01,4.21,4.21,4.03,4.1,105900
2014-10-02,4.08,4.27,3.74,4.27,32500
2014-10-03,4.0,4.29,3.91,4.15,38300
2014-10-06,3.9,4.16,3.77,4.13,14300
2014-10-07,3.95,4.05,3.94,4.0,15200
2014-10-08,4.22,4.26,3.95,4.25,94100
2014-10-09,4.06,4.11,4.0,4.1,115000
2014-10-10,3.993,4.065,3.95,4.0,12200
2014-10-13,4.0,4.0,3.9,3.985,16100
2014-10-14,4.0,4.02,3.78,4.0,33400
2014-10-15,3.75,4.05,3.75,4.0,88200
2014-10-16,3.86,4.03,3.86,3.96,7600
2014-10-17,4.04,4.05,3.943,4.0,11800
2014-10-20,3.97,4.08,3.91,4.045,8500
2014-10-21,3.92,4.08,3.92,4.01,187400
2014-10-22,4.03,4.11,3.93,4.06,44400
2014-10-23,4.09,4.14,4.04,4.04,41200
2014-10-24,4.1,4.1,4.01,4.1,28600
2014-10-27,4.04,4.21,4.04,4.15,6700
2014-10-28,3.97,4.15,3.97,4.15,18200
2014-10-29,4.07,4.12,4.04,4.04,2500
2014-10-30,4.03,4.15,4.03,4.07,6000
2014-10-31,4.15,4.15,4.06,4.12,2500
2014-11-03,4.18,4.25,4.11,4.24,34800
2014-11-04,4.2,4.228,4.2,4.2,39200
2014-11-05,4.205,4.3,4.2,4.27,27200
2014-11-06,4.246,4.29,4.21,4.24,34100
2014-11-07,4.21,4.29,4.2,4.24,79400
2014-11-10,4.22,4.224,4.2,4.2,2800
2014-11-11,4.21,4.28,4.2,4.2,6500
2014-11-12,4.22,4.333,4.22,4.27,74300
2014-11-13,4.25,4.4,4.25,4.31,18900
2014-11-14,4.33,4.33,4.11,4.32,21100
2014-11-17,4.31,4.31,4.21,4.26,7200
2014-11-18,4.27,4.3,4.16,4.25,21100
2014-11-19,4.18,4.25,4.18,4.2,4900
2014-11-20,4.15,4.21,4.15,4.21,4900
2014-11-21,4.25,4.3,4.17,4.3,11700
2014-11-24,4.24,4.31,4.2,4.31,1900
2014-11-25,4.3,4.3,4.06,4.22,3200
2014-11-26,4.052,4.2,4.02,4.14,9500
2014-11-28,4.14,4.14,4.14,4.14,100
2014-12-01,4.0,4.31,4.0,4.18,7600
2014-12-02,4.17,4.28,4.04,4.27,9800
2014-12-03,4.06,4.28,4.0,4.28,6400
2014-12-04,4.28,4.28,4.08,4.265,23300
2014-12-05,4.27,4.27,4.17,4.24,8700
2014-12-08,4.2,4.2,4.02,4.14,48800
2014-12-09,4.25,4.27,4.07,4.11,22400
2014-12-10,4.1,4.16,4.05,4.05,16400
2014-12-11,4.07,4.09,4.0,4.08,5900
2014-12-12,4.05,4.09,4.0,4.05,7500
2014-12-15,4.09,4.26,3.98,4.15,24700
2014-12-16,4.17,4.25,4.06,4.25,19300
2014-12-17,4.22,4.24,4.01,4.24,16900
2014-12-18,4.25,4.3,4.11,4.3,17000
2014-12-19,4.3,4.3,4.14,4.24,145400
2014-12-22,4.19,4.35,4.19,4.34,123500
2014-12-23,4.21,4.4,4.21,4.33,9900
2014-12-24,4.32,4.38,4.01,4.38,21300
2014-12-26,4.3,4.3,4.07,4.21,9100
2014-12-29,4.21,4.31,3.8,4.244,13400
