date,open,high,low,close,volume
2020-11-27,9.921,10.2,9.921,10.06,14000
2020-11-30,10.06,10.11,9.931,10.01,8900
2020-12-01,10.5,10.5,10.01,10.119,11300
2020-12-02,10.15,10.27,9.96,10.125,25000
2020-12-03,10.16,10.16,10.01,10.01,6500
2020-12-04,10.02,10.1,10.0,10.03,62700
2020-12-07,10.12,10.41,10.02,10.15,55900
2020-12-08,10.55,10.55,10.2,10.29,210000
2020-12-09,10.7,10.7,10.18,10.283,260600
2020-12-10,10.22,10.88,10.15,10.16,98800
2020-12-11,10.45,10.74,10.25,10.26,129000
2020-12-14,10.4,10.6,10.27,10.6,94000
2020-12-15,10.39,10.55,10.2,10.5,194700
2020-12-16,10.4,10.55,10.4,10.515,21400
2020-12-17,10.37,10.65,10.35,10.65,76500
2020-12-18,10.7,10.7,10.58,10.666,6800
2020-12-21,10.7,10.7,10.35,10.52,40800
2020-12-22,10.6,10.7,10.3,10.43,85800
2020-12-23,10.5,10.7,10.45,10.5,604900
2020-12-24,10.65,10.65,10.45,10.55,193400
2020-12-28,10.75,10.89,10.7,10.73,714700
2020-12-29,10.8,10.8,10.6,10.72,361600
2020-12-30,10.62,10.85,10.62,10.7,362400
2020-12-31,10.81,10.81,10.53,10.6,229400
2021-01-04,10.85,10.9,10.52,10.6,303000
