date,open,high,low,close,volume
2018-11-06,12.01,14.69,10.5,14.5,61200
2018-11-07,16.9,16.9,16.21,16.75,13800
2018-11-08,17.0,17.01,16.0,16.0,14900
2018-11-09,16.75,16.75,16.2,16.2,700
2018-11-12,16.5,16.95,15.0,16.5,8200
2018-11-13,16.75,16.75,15.82,16.3,1100
2018-11-14,16.7,16.7,16.0,16.0,1800
2018-11-15,16.5,16.5,13.31,13.31,3500
2018-11-16,15.0,15.1,15.0,15.1,1000
2018-11-19,14.66,16.0,14.66,16.0,1300
2018-11-20,15.94,15.94,14.0,14.69,3100
2018-11-21,14.1,16.5,14.1,15.26,2600
2018-11-23,14.48,15.99,14.48,15.99,1500
2018-11-26,16.49,16.49,15.12,16.3,1100
2018-11-27,15.5,16.79,15.5,16.65,1300
2018-11-28,16.75,16.75,16.75,16.75,100
2018-11-29,15.5,16.75,15.5,16.75,1200
2018-11-30,16.0,16.75,16.0,16.75,600
2018-12-03,16.75,16.75,16.75,16.75,0
2018-12-04,16.75,16.75,16.75,16.75,0
2018-12-06,16.75,16.75,16.75,16.75,100
2018-12-07,16.75,16.75,16.75,16.75,0
2018-12-10,16.67,17.95,16.67,17.95,800
2018-12-11,17.95,17.95,16.16,16.2,8700
2018-12-12,16.05,16.5,14.36,14.36,20700
2018-12-13,14.35,15.59,14.01,15.49,10900
2018-12-14,14.78,16.07,14.78,15.2,2800
2018-12-17,15.5,15.89,14.55,14.55,2100
2018-12-18,14.61,14.71,14.55,14.55,2200
2018-12-19,14.6,15.2,14.6,14.6,2500
2018-12-20,14.55,15.34,12.17,12.17,6300
2018-12-21,12.97,14.98,12.97,13.92,14000
2018-12-24,14.85,15.0,13.45,14.5,2300
2018-12-26,14.0,14.0,13.1,13.1,2400
2018-12-27,13.05,13.5,12.51,13.24,18700
2018-12-28,12.56,14.45,12.56,13.68,4200
2018-12-31,13.62,14.45,12.51,13.3,15200
2019-01-02,13.3,13.3,13.3,13.3,200
2019-01-03,14.31,14.31,13.06,13.06,400
2019-01-04,13.06,13.06,13.06,13.06,200
2019-01-07,13.5,13.75,13.5,13.7,1900
2019-01-08,13.5,14.0,13.5,14.0,2900
2019-01-09,13.48,13.48,13.48,13.48,800
2019-01-10,15.86,15.86,13.93,13.93,900
2019-01-11,13.93,13.93,13.93,13.93,0
2019-01-14,14.5,14.5,14.5,14.5,300
2019-01-15,14.5,14.5,14.5,14.5,0
2019-01-16,14.5,14.5,14.5,14.5,0
2019-01-17,14.5,14.5,14.5,14.5,0
2019-01-18,14.5,14.5,14.5,14.5,0
2019-01-22,14.5,14.5,14.5,14.5,0
2019-01-23,14.5,14.5,14.5,14.5,0
2019-01-24,14.5,14.5,14.5,14.5,0
2019-01-25,13.6,14.5,13.54,14.5,1500
2019-01-28,14.49,14.49,14.49,14.49,200
2019-01-29,14.49,14.49,14.49,14.49,0
2019-01-30,14.4,14.5,14.1,14.3,2100
2019-01-31,14.5,14.5,14.5,14.5,300
2019-02-01,14.5,14.5,14.5,14.5,0
2019-02-04,14.5,14.5,14.5,14.5,0
2019-02-05,14.5,14.5,14.5,14.5,0
2019-02-06,14.5,14.5,14.5,14.5,0
2019-02-07,14.5,14.5,14.5,14.5,0
2019-02-08,14.5,14.5,14.5,14.5,0
2019-02-11,14.5,14.5,14.5,14.5,100
2019-02-12,14.5,14.5,14.5,14.5,100
2019-02-13,14.5,14.5,14.5,14.5,0
2019-02-14,13.1,14.5,13.1,14.5,1000
2019-02-15,14.0,14.0,14.0,14.0,800
2019-02-19,14.0,14.0,14.0,14.0,0
2019-02-20,14.0,14.0,14.0,14.0,0
2019-02-21,14.0,14.0,14.0,14.0,500
